atom,orbital,Z,epsilon,npts,r_core_min,prob_rel_cut,alpha,fa_max_abs,fa_r_at_max,fa_tail_abs,fa_r_tail,fa_rms_P,fa_mean_P,fa_p99_abs,fa_Zeff_tail_err,cache_present,cache_max_abs,cache_r_at_max,cache_tail_abs,cache_r_tail,cache_rms_P,cache_mean_P,cache_p99_abs,cache_Zeff_tail_err
Mg,3s,12,-0.2530524,167,0.5,1e-06,0.6666666666666666,15.111634300489111,0.8877381626075078,0.009415912524547293,15.895690928087461,0.24004003776636723,0.2001507056421793,4.056931358460488,0.0007901988962810691,1,15.707516096851947,0.8877381626075078,0.008927994609931517,15.895690928087461,0.08417522183567426,0.042933446003662785,4.011216959757822,0.0
Mg,2p,12,-2.282226,108,0.5,1e-06,0.6666666666666666,0.7427383681356567,4.671246818831197,0.7427383681356567,4.671246818831197,0.16873847327255942,0.15616807281214276,0.6884584036340106,0.0007901988962810691,1,0.7419598426566427,4.671246818831197,0.7419598426566427,4.671246818831197,0.2059800844821398,0.19672141108825852,0.6875655670695308,0.0
Al,1s,13,-58.5010265,29,0.5,1e-06,0.6666666666666666,24.10047034150115,0.9063568868831423,24.10047034150115,0.9063568868831423,4.384091767402483,-3.8611573124658163,23.66407363449284,0.000860774570581313,1,23.92516980140386,0.9063568868831423,23.92516980140386,0.9063568868831423,4.010775501476478,-3.388707253938626,23.486724848078453,0.0
Al,2s,13,-4.9106719,90,0.5,1e-06,0.6666666666666666,0.3986538422122443,3.2149522869288067,0.3986538422122443,3.2149522869288067,0.0961011969213068,-0.09449790205660871,0.34550250634053803,0.000860774570581313,1,0.39363765980597165,3.2149522869288067,0.39363765980597165,3.2149522869288067,0.0114806298051095,-0.0006593860489824027,0.34005040527583386,0.0
Al,3s,13,-0.3934208,156,0.5,1e-06,0.6666666666666666,11.627466816576852,0.7837883349108461,0.03516624606068519,12.65090429172851,0.2737335968821156,0.23376280175177985,5.707361978180242,0.000860774570581313,1,12.213323448701917,0.7837883349108461,0.035175537290007,12.65090429172851,0.1454539702057726,0.12253052275325839,5.35951221266627,0.0
Al,2p,13,-3.2183033,100,0.5,1e-06,0.6666666666666666,1.1910951342307874,3.956562428204682,1.1910951342307874,3.956562428204682,0.10878177503573587,0.10432557009411719,1.1030128886359547,0.000860774570581313,1,1.1893059371371437,3.956562428204682,1.1893059371371437,3.956562428204682,0.21473694833630677,0.2092562918314658,1.1010145473345738,0.0
Al,3p,13,-0.2099507,171,0.5,1e-06,0.6666666666666666,41.67515487844207,0.8170102285879015,0.005444906194311455,17.27176841135347,0.1975714648561854,0.16022737020589525,5.31835152201144,0.000860774570581313,1,41.02163552405277,0.8170102285879015,0.0050339871997518715,17.27176841135347,0.0821458041266661,0.061962273414719514,5.073074420041299,0.0
Si,1s,14,-68.8124558,25,0.5,1e-06,0.6666666666666666,26.364811060293732,0.8341455606229362,26.364811060293732,0.8341455606229362,6.293081365092279,-5.703310727837261,25.947046478661402,0.0009336939227608809,1,26.145413780149887,0.8341455606229362,26.145413780149887,0.8341455606229362,5.886747478052322,-5.218077764035292,25.7255192010214,0.0
Si,2s,14,-6.156538,86,0.5,1e-06,0.6666666666666666,1.1749090724179867,2.9588103941907598,1.1749090724179867,2.9588103941907598,0.13274594464185158,-0.12712945734650455,1.0522023723355818,0.0009336939227608809,1,1.1697351306608974,2.9588103941907598,1.1697351306608974,2.9588103941907598,0.025741442721698232,0.0184963146661993,1.0465612676500664,0.0
Si,3s,14,-0.5398424,148,0.5,1e-06,0.6666666666666666,21.211675256240397,0.706524213516131,0.02573089934553796,10.715360276336359,0.29485995912926566,0.251121410170909,5.810558736020839,0.0009336939227608809,1,21.7909670564301,0.706524213516131,0.025739934035788337,10.715360276336359,0.17457811306810167,0.1482286948281235,5.7924172849772955,0.0
